,id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,Localité,Commune principale,Province,Region
5054,9037609,8580,1,2,237000.0,0,3.0,216.0,4,False,False,False,0.0,True,600.0,780.0,3.0,False,2,AVELGEM,AVELGEM,Flandre-Occidentale,b'Flandre'
5055,9037608,8580,1,2,237000.0,0,3.0,216.0,4,False,False,False,0.0,True,600.0,780.0,3.0,False,2,AVELGEM,AVELGEM,Flandre-Occidentale,b'Flandre'
5056,9037611,8790,1,2,258000.0,0,3.0,215.0,4,False,False,True,0.0,False,0.0,640.0,3.0,False,2,WAREGEM,WAREGEM,Flandre-Occidentale,b'Flandre'
5057,9038524,8792,1,2,335000.0,0,3.0,225.0,0,False,False,True,0.0,False,0.0,557.0,4.0,False,0,Desselgem,WAREGEM,Flandre-Occidentale,b'Flandre'
5058,9041382,1640,1,2,369000.0,0,3.0,136.0,0,False,False,True,0.0,False,0.0,650.0,3.0,False,4,RHODE-SAINT-GENÈSE,RHODE-SAINT-GENÈSE,Brabant Flamand,b'Flandre'
5059,9041445,8790,1,4,650000.0,0,4.0,280.0,3,False,False,True,0.0,False,0.0,895.0,4.0,False,0,WAREGEM,WAREGEM,Flandre-Occidentale,b'Flandre'
5060,9041442,8790,1,4,650000.0,0,4.0,280.0,3,False,False,False,0.0,False,0.0,895.0,4.0,False,0,WAREGEM,WAREGEM,Flandre-Occidentale,b'Flandre'
5061,8460464,7060,0,0,165000.0,0,1.0,67.0,0,False,False,True,23.0,True,58.0,67.0,,False,0,Horrues,SOIGNIES,Hainaut,b'Wallonie'
5062,8460464,7060,0,0,165000.0,0,1.0,67.0,0,False,False,True,23.0,True,58.0,67.0,,False,0,SOIGNIES,SOIGNIES,Hainaut,b'Wallonie'
5063,9034724,1090,0,0,224000.0,0,2.0,95.0,0,False,False,False,0.0,False,0.0,95.0,2.0,False,2,JETTE,JETTE,Bruxelles (19 communes),b'Bruxelles'
5064,9035408,1180,0,0,345000.0,0,2.0,82.0,2,False,False,True,18.0,False,0.0,82.0,2.0,False,0,UCCLE,UCCLE,Bruxelles (19 communes),b'Bruxelles'
5065,9034671,1050,0,0,1575000.0,0,2.0,260.0,2,False,False,False,0.0,False,0.0,260.0,2.0,False,0,IXELLES,IXELLES,Bruxelles (19 communes),b'Bruxelles'
5066,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Gleixhe,FLÉMALLE,Liège,b'Wallonie'
5067,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Chokier,FLÉMALLE,Liège,b'Wallonie'
5068,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Mons-Lez-Liège,FLÉMALLE,Liège,b'Wallonie'
5069,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,FLÉMALLE,FLÉMALLE,Liège,b'Wallonie'
5070,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Ivoz-Ramet,FLÉMALLE,Liège,b'Wallonie'
5071,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Awirs,FLÉMALLE,Liège,b'Wallonie'
5072,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Flémalle-Grande,FLÉMALLE,Liège,b'Wallonie'
5073,8951545,4400,1,2,35000.0,0,2.0,188.0,7,False,False,False,0.0,False,0.0,425.0,2.0,False,4,Flémalle-Haute,FLÉMALLE,Liège,b'Wallonie'
5074,8780327,7370,1,2,50000.0,0,2.0,135.0,7,False,False,True,17.0,False,0.0,200.0,2.0,False,4,Wihéries,DOUR,Hainaut,b'Wallonie'
5075,8780327,7370,1,2,50000.0,0,2.0,135.0,7,False,False,True,17.0,False,0.0,200.0,2.0,False,4,Blaugies,DOUR,Hainaut,b'Wallonie'
5076,8780327,7370,1,2,50000.0,0,2.0,135.0,7,False,False,True,17.0,False,0.0,200.0,2.0,False,4,DOUR,DOUR,Hainaut,b'Wallonie'
5077,8780327,7370,1,2,50000.0,0,2.0,135.0,7,False,False,True,17.0,False,0.0,200.0,2.0,False,4,Elouges,DOUR,Hainaut,b'Wallonie'
5078,8884821,4020,1,2,68000.0,0,3.0,58.0,3,False,False,False,0.0,False,0.0,15.0,2.0,False,3,Bressoux,LIÈGE,Liège,b'Wallonie'
5079,8884821,4020,1,2,68000.0,0,3.0,58.0,3,False,False,False,0.0,False,0.0,15.0,2.0,False,3,Jupille-Sur-Meuse,LIÈGE,Liège,b'Wallonie'
5080,8884821,4020,1,2,68000.0,0,3.0,58.0,3,False,False,False,0.0,False,0.0,15.0,2.0,False,3,Wandre,LIÈGE,Liège,b'Wallonie'
5081,8884821,4020,1,2,68000.0,0,3.0,58.0,3,False,False,False,0.0,False,0.0,15.0,2.0,False,3,LIÈGE,LIÈGE,Liège,b'Wallonie'
5082,8942337,4500,1,2,69000.0,0,2.0,45.0,3,False,False,True,74.0,True,45.0,187.0,3.0,False,5,Tihange,HUY,Liège,b'Wallonie'
5083,8942337,4500,1,2,69000.0,0,2.0,45.0,3,False,False,True,74.0,True,45.0,187.0,3.0,False,5,Ben-Ahin,HUY,Liège,b'Wallonie'
